customer,cluster,cluster_label,cluster_profile
7123,1,New Parents,"Baby%, Drinks%, Home%"
7124,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7125,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7126,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7127,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7128,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7129,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7130,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7132,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7133,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7134,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7135,1,New Parents,"Baby%, Drinks%, Home%"
7136,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7138,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7139,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7140,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7141,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7142,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7143,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7144,1,New Parents,"Baby%, Drinks%, Home%"
7145,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7146,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7147,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7148,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7149,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7150,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7152,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7154,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7155,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7156,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7157,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7158,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7159,1,New Parents,"Baby%, Drinks%, Home%"
7160,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7162,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7163,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7164,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7165,1,New Parents,"Baby%, Drinks%, Home%"
7166,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7167,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7168,1,New Parents,"Baby%, Drinks%, Home%"
7169,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7170,1,New Parents,"Baby%, Drinks%, Home%"
7171,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7172,1,New Parents,"Baby%, Drinks%, Home%"
7173,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7174,1,New Parents,"Baby%, Drinks%, Home%"
7175,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7176,1,New Parents,"Baby%, Drinks%, Home%"
7177,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7178,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7179,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7180,1,New Parents,"Baby%, Drinks%, Home%"
7181,1,New Parents,"Baby%, Drinks%, Home%"
7182,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7183,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7184,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7185,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7186,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7187,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7188,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7189,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7190,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7191,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7192,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7193,1,New Parents,"Baby%, Drinks%, Home%"
7194,1,New Parents,"Baby%, Drinks%, Home%"
7196,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7197,1,New Parents,"Baby%, Drinks%, Home%"
7198,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7199,1,New Parents,"Baby%, Drinks%, Home%"
7200,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7202,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7203,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7204,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7205,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7207,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7208,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7209,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7210,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7211,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7212,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7213,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7214,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7215,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7216,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7217,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7218,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7219,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7220,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7221,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7222,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7223,1,New Parents,"Baby%, Drinks%, Home%"
7224,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7225,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7226,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7227,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7228,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7229,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7230,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7231,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7232,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7233,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7234,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7235,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7236,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7237,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7238,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7240,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7241,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7242,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7243,1,New Parents,"Baby%, Drinks%, Home%"
7244,1,New Parents,"Baby%, Drinks%, Home%"
7245,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7246,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7247,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7248,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7249,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7250,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7251,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7253,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7254,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7255,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7256,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7257,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7258,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7259,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7260,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7261,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7262,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7263,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7264,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7265,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7266,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7267,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7268,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7269,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7270,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7271,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7272,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7273,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7274,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7276,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7277,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7278,1,New Parents,"Baby%, Drinks%, Home%"
7279,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7280,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7281,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7282,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7283,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7284,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7285,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
