customer,cluster,cluster_label
1665,3,Drinks & Fresh Regulars & Food
1666,2,Food & Drinks & Home Decorators
1667,2,Food & Drinks & Home Decorators
1668,0,Home Decorators & Drinks & Food
1669,3,Drinks & Fresh Regulars & Food
1670,2,Food & Drinks & Home Decorators
1671,2,Food & Drinks & Home Decorators
1672,1,New Parents & Drinks & Home Decorators
1673,0,Home Decorators & Drinks & Food
1675,0,Home Decorators & Drinks & Food
1676,2,Food & Drinks & Home Decorators
1677,2,Food & Drinks & Home Decorators
1678,0,Home Decorators & Drinks & Food
1679,3,Drinks & Fresh Regulars & Food
1680,3,Drinks & Fresh Regulars & Food
1681,1,New Parents & Drinks & Home Decorators
1682,3,Drinks & Fresh Regulars & Food
1683,2,Food & Drinks & Home Decorators
1684,2,Food & Drinks & Home Decorators
1685,3,Drinks & Fresh Regulars & Food
1686,0,Home Decorators & Drinks & Food
1687,0,Home Decorators & Drinks & Food
1688,3,Drinks & Fresh Regulars & Food
1689,0,Home Decorators & Drinks & Food
1690,3,Drinks & Fresh Regulars & Food
1691,0,Home Decorators & Drinks & Food
1692,3,Drinks & Fresh Regulars & Food
1693,2,Food & Drinks & Home Decorators
1694,2,Food & Drinks & Home Decorators
1695,3,Drinks & Fresh Regulars & Food
1696,0,Home Decorators & Drinks & Food
1697,2,Food & Drinks & Home Decorators
1698,1,New Parents & Drinks & Home Decorators
1699,3,Drinks & Fresh Regulars & Food
1700,0,Home Decorators & Drinks & Food
1701,3,Drinks & Fresh Regulars & Food
1702,3,Drinks & Fresh Regulars & Food
1703,0,Home Decorators & Drinks & Food
1704,0,Home Decorators & Drinks & Food
1705,3,Drinks & Fresh Regulars & Food
1706,0,Home Decorators & Drinks & Food
1707,2,Food & Drinks & Home Decorators
1708,3,Drinks & Fresh Regulars & Food
1709,3,Drinks & Fresh Regulars & Food
1710,3,Drinks & Fresh Regulars & Food
1711,3,Drinks & Fresh Regulars & Food
1712,2,Food & Drinks & Home Decorators
1713,3,Drinks & Fresh Regulars & Food
1714,0,Home Decorators & Drinks & Food
1715,2,Food & Drinks & Home Decorators
1716,2,Food & Drinks & Home Decorators
1717,3,Drinks & Fresh Regulars & Food
1718,0,Home Decorators & Drinks & Food
1719,3,Drinks & Fresh Regulars & Food
1720,2,Food & Drinks & Home Decorators
1721,3,Drinks & Fresh Regulars & Food
1722,0,Home Decorators & Drinks & Food
1723,3,Drinks & Fresh Regulars & Food
1724,1,New Parents & Drinks & Home Decorators
1725,0,Home Decorators & Drinks & Food
1726,3,Drinks & Fresh Regulars & Food
1727,3,Drinks & Fresh Regulars & Food
1728,1,New Parents & Drinks & Home Decorators
1729,1,New Parents & Drinks & Home Decorators
1730,0,Home Decorators & Drinks & Food
1731,3,Drinks & Fresh Regulars & Food
1732,1,New Parents & Drinks & Home Decorators
1733,0,Home Decorators & Drinks & Food
1734,1,New Parents & Drinks & Home Decorators
1735,0,Home Decorators & Drinks & Food
1736,0,Home Decorators & Drinks & Food
1737,0,Home Decorators & Drinks & Food
1738,1,New Parents & Drinks & Home Decorators
1739,3,Drinks & Fresh Regulars & Food
1740,3,Drinks & Fresh Regulars & Food
1741,0,Home Decorators & Drinks & Food
1742,0,Home Decorators & Drinks & Food
1743,3,Drinks & Fresh Regulars & Food
1744,3,Drinks & Fresh Regulars & Food
1745,0,Home Decorators & Drinks & Food
1746,1,New Parents & Drinks & Home Decorators
1747,1,New Parents & Drinks & Home Decorators
1749,0,Home Decorators & Drinks & Food
1750,3,Drinks & Fresh Regulars & Food
1751,3,Drinks & Fresh Regulars & Food
1752,1,New Parents & Drinks & Home Decorators
1753,1,New Parents & Drinks & Home Decorators
1754,0,Home Decorators & Drinks & Food
1755,0,Home Decorators & Drinks & Food
1756,0,Home Decorators & Drinks & Food
1757,3,Drinks & Fresh Regulars & Food
1758,3,Drinks & Fresh Regulars & Food
1759,2,Food & Drinks & Home Decorators
